الشهر,عدد الايتام,الرصيد الافتتاحي,الميزانيه,الفعلي,المتبقي,,الشهر,عدد الايتام,الرصيد الافتتاحي,الميزانيه,الفعلي,المتبقي,,,,,,,
٠٨-Nov-٢٠٢٥,157,155180,10205,6830,158555,,٠٨-Nov-٢٠٢٥,157,56143,7850,,63993,,٠٨-Nov-٢٠٢٥,157,330383.92,114610,78280,366713.92
٠٨-Dec-٢٠٢٥,157,158555,10205,6830,161930,,٠٨-Dec-٢٠٢٥,157,63993,7850,,71843,,٠٨-Dec-٢٠٢٥,157,366713.92,114610,77480,403843.92
٠١-Jan-٢٠٢٦,157,161930,10205,6725,165410,,٠١-Jan-٢٠٢٦,157,71843,7850,,79693,,٠١-Jan-٢٠٢٦,157,403843.92,114610,91575,426878.92
٠١-Feb-٢٠٢٦,157,165410,10205,6905,168710,,٠١-Feb-٢٠٢٦,157,79693,7850,,87543,,٠١-Feb-٢٠٢٦,157,426878.92,114610,160185,381303.92
٠١-Mar-٢٠٢٦,157,168710,10205,6725,172190,,٠١-Mar-٢٠٢٦,157,87543,7850,37680,57713,,٠١-Mar-٢٠٢٦,157,381303.92,114610,220245,275668.92
٠١-Apr-٢٠٢٦,161,172190,10465,6910,175745,,٠١-Apr-٢٠٢٦,161,57713,8050,,65763,,٠١-Apr-٢٠٢٦,161,275668.92,117530,79360,313838.92
٠١-May-٢٠٢٦,161,175745,10465,14015,172195,,٠١-May-٢٠٢٦,161,65763,8050,16100,57713,,٠١-May-٢٠٢٦,161,313838.92,117530,175015,256353.92
٠٢-Jun-٢٠٢٦,161,172195,10465,12800,169860,,٠٢-Jun-٢٠٢٦,161,57713,8050,,65763,,٠٢-Jun-٢٠٢٦,161,256353.92,117530,85250,288633.92
٠١-Jul-٢٠٢٦,161,169860,10465,12725,167600,,٠١-Jul-٢٠٢٦,161,65763,8050,,73813,,٠١-Jul-٢٠٢٦,161,288633.92,117530,85175,320988.92
٠١-Aug-٢٠٢٦,163,167600,10595,12820,165375,,٠١-Aug-٢٠٢٦,163,73813,8150,21038,60925,,٠١-Aug-٢٠٢٦,163,320988.92,118990,107208,332771
